old_cityID,X,Y,country,state,city
22,131.0640728,49.00451993,Russia,Jewish Autonomous Oblast,Obluchye
67,129.3866241,48.23162981,China,Heilongjiang,Yichun
193,76.95356215,62.98429277,Russia,Yamalo-Nenets Autonomous Okrug,Vyngapurovskiy
263,37.64396927,37.78274333,T¨¹rkiye,Ad?yaman,G?lba??
297,75.56498566,26.81453009,India,Rajasthan,Bagru
333,22.79918365,53.40376572,Poland,Podlaskie Voivodeship,Mo¨½ki
354,14.2107263,37.29994761,Italy,Sicily,Mazzarino
363,-94.94423693,45.26596143,United States,Minnesota,Spicer
393,83.59991326,45.93667017,China,Xinjiang,Tacheng Prefecture
407,-8.570694343,40.76134973,Portugal,Aveiro District,Estarreja
451,128.9178971,44.47101372,China,Heilongjiang,Mudanjiang
461,128.5007155,43.29788403,China,Jilin,Yanbian Korean Autonomous Prefecture
469,54.05581942,29.13051884,Iran,Fars Province,Estahban
566,57.4180289,48.430953,Kazakhstan,Aktobe Region,Vakhtovyy Poselok Neftyanikov
580,-113.5851738,52.67579962,Canada,Alberta,Ponoka
587,-95.05046791,46.91514514,United States,Minnesota,Lake Itasca
644,-95.57539159,46.59407955,United States,Minnesota,Perham
656,-68.84974595,47.65080254,Canada,Quebec,T¨¦miscouata-sur-le-Lac
657,13.6419421,42.01610486,Italy,Abruzzo,
674,176.7112541,-38.07846387,New Zealand,Bay of Plenty,Kawerau
683,105.9235031,37.98716977,China,Ningxia,Wuzhong
749,-40.08761764,-7.885925755,Brazil,State of Pernambuco,Ouricuri
759,39.16489362,53.26032208,Russia,Lipetsk Oblast,Dankov
779,-82.82779988,42.17161116,Canada,Ontario,Essex
792,129.4302483,47.41244043,China,Heilongjiang,Yichun
799,14.94907784,36.82316281,Italy,Sicily,Rosolini
814,-95.11495534,43.86902525,United States,Minnesota,Windom
822,78.52560717,50.75179195,Kazakhstan,Abay Region,Kurchatov
836,-96.63487399,45.21682329,United States,South Dakota,Milbank
884,-119.5508126,49.17318648,Canada,British Columbia,Oliver
